Field,Type,Required,Request or Generated,Currently Enforced,Used In,Notes
hardware_profile.nic.firmware,string,yes,mixed,no,schema only,Worth tracking but not verified
hardware_profile.nic.link_speed_gbps,integer,yes,request,no,schema only,Declared but not verified
hardware_profile.nic.offloads.tso,boolean,yes,request,no,schema only,TSO offload declaration
hardware_profile.nic.offloads.gso,boolean,yes,request,no,schema only,GSO offload declaration
hardware_profile.nic.offloads.checksum,boolean,yes,request,no,schema only,Checksum offload declaration
hardware_profile.nic.offloads.vlan_strip,boolean,yes,request,no,schema only,VLAN strip offload declaration
hardware_profile.topology.mode,enum,yes,request,yes,"server, runner, resolver","single_node, replicated, tensor_parallel, pipeline_parallel"
hardware_profile.topology.node_count,integer,yes,request,yes,"server, dispatcher",Validated against available GPUs
hardware_profile.topology.rack_count,integer,yes,request,partially,dispatcher,Used for rack-aware scheduling
hardware_profile.topology.collective_fabric,enum,yes,request,partially,runner,"none, intra_node, intra_rack, cross_rack"
network.security_mode,enum,yes,request,no,"runner (recorded)","plaintext, tls_deterministic_test_only, tls"
network.egress_reproducibility,boolean,yes,request,no,schema conditional,Tied to security_mode constraint
network.mtu,integer,yes,request,no,schema only,Declared for deterministic framing; not enforced
network.mss,integer,yes,request,no,schema only,Declared for deterministic framing
network.tso,boolean,yes,request,no,schema only,NIC offload toggle
network.gso,boolean,yes,request,no,schema only,NIC offload toggle
network.checksum_offload,boolean,yes,request,no,schema only,NIC offload toggle
network.queue_mapping.tx_queues,integer,yes,request,no,schema only,TX queue count
network.queue_mapping.rx_queues,integer,yes,request,no,schema only,RX queue count
network.queue_mapping.mapping_policy,enum,yes,request,no,schema only,fixed_core_queue or flow_hash
network.ring_sizes.tx,integer,yes,request,no,schema only,TX ring buffer size
network.ring_sizes.rx,integer,yes,request,no,schema only,RX ring buffer size
network.thread_affinity,array of integers,yes,request,no,schema only,CPU core pinning for network threads
network.internal_batching.enabled,boolean,yes,request,no,schema only,Packet batching toggle
network.internal_batching.max_burst,integer,yes,request,no,schema only,Max packet burst size
requests[].id,string,yes,request,yes,"server (validation), runner",Request identifier; used for seed derivation
requests[].prompt,string,yes,request,yes,"runner, vllm_runner",The input text for inference
requests[].max_new_tokens,integer,yes,request,yes,"server (validation), vllm_runner",Validated against max_model_len; passed to SamplingParams
requests[].temperature,number,yes,request,yes,vllm_runner,Passed to SamplingParams
comparison.tokens,comparator object,yes,request,no (verifier only),verifier,"Mode: exact, ulp, absrel, hash"
comparison.logits,comparator object,yes,request,no (verifier only),verifier,Logprob comparison criteria
comparison.activations,comparator object,yes,request,no (verifier only),verifier,Activation comparison criteria (currently placeholder data)
comparison.network_egress,comparator object,yes,request,no (verifier only),verifier,Network egress comparison criteria
deterministic_dispatcher.enabled,boolean,yes,request,schema conditional,,Required true for multi-node topologies
deterministic_dispatcher.algorithm,enum,yes,request,partially,"coordinator, dispatcher",round_robin_hash or sequence_map
deterministic_dispatcher.request_order_source,enum,yes,request,no,schema only,ingress_sequence
deterministic_dispatcher.replay_log_required,boolean,yes,request,no,schema only,Whether dispatch log must be saved
artifact_inputs[].artifact_id,string,yes,generated,partially,"runner, resolver",Identifier for each software component
artifact_inputs[].artifact_type,enum,yes,generated,partially,resolver,"model_weights, serving_stack, cuda_lib, etc."
artifact_inputs[].source_kind,enum,yes,generated,no,resolver,"hf, oci, s3, http, git, nix, inline"
artifact_inputs[].source_uri,string,yes,generated,no,resolver,Where to fetch the artifact
artifact_inputs[].immutable_ref,string,yes,generated,no,resolver,Pinned reference (commit SHA etc.)
artifact_inputs[].expected_digest,string (sha256),no,generated,no,not consumed,Declared digest; NOT verified at runtime
artifact_inputs[].name,string,no,generated,no,resolver,Human-readable name
artifact_inputs[].size_bytes,integer,no,generated,no,resolver,Artifact size
